BAT_GND_PAD,102.87,7.62
BAT_PWR_PAD,109.22,7.62
C17,90.17,16.51
D7,107.19,14.22
IC1,72.39,52.07
PHASE_A_PAD,153.67,43.18
PHASE_B_PAD,153.67,59.69
PHASE_C_PAD,153.67,76.2
Q1,118.11,43.18
Q2,138.43,43.18
Q3,118.11,59.69
Q4,138.43,59.69
Q5,118.11,76.2
Q6,138.43,76.2
R13,72.77,31.88
R22,129.54,20.32
R23,129.54,26.67
R24,129.54,33.02
R4,81.28,59.69
R5,81.28,66.04
R6,81.28,72.39
